Target_Risk_Level,Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L,Simulated_1st_Percentile_Max_Drawdown,Vol_Risk_Level_Assigned,DD_Risk_Level_Assigned,Final_Assigned_Risk_Level
1,0.0994015335534094,0.03417296014369711,0.34378705158845113,0.18315169353113683,0.023778183185449105,0.15362002264962749,0.022638668682249848,0.06186252857001129,0.019272743101986015,0.02225604367845419,0.07562682964267033,0.028493600754441555,0.24413767988840962,0.16516200631556366,-0.6915846162625149,1.0,9.0,9.0
2,0.10856509785390221,0.040416984263843485,0.3722834047295132,0.050872302492652184,0.13569577118468468,0.03836934699647058,0.050646568379308574,0.02270267158572812,0.04648380150566291,0.0860978472673083,0.19020743287377162,0.04145214888108644,0.24785051097362532,0.0896215978597013,-0.6966129738694957,2.0,9.0,9.0
3,0.11718593990865865,0.054840296307856244,0.4679767585650793,0.07420311795165155,0.016944030864588355,0.002906142026808521,0.2308524035941861,0.015739597655991134,0.02449329946320803,0.09197539718617662,0.1656425301083787,0.07383477264598647,0.25781192339135367,0.0455967851116708,-0.661826691456578,3.0,9.0,9.0
4,0.12554770384028718,0.05641616065694196,0.44936035412252995,0.1325007631611128,0.04495262224304936,0.15337745543330059,0.22095859004427032,0.04559958360648989,0.026060380907338032,0.027751824459057668,0.15448068296890632,0.016087708259542,0.14469185715950184,0.03353853175743119,-0.6928410900773864,4.0,9.0,9.0
5,0.13453465335994672,0.06532470403460575,0.4855604292511154,0.05048433844869643,0.0037792150640462018,0.08239094561705099,0.28257253402956845,0.00322980749397227,0.06676468967499335,0.00031839143667962075,0.20636530091701547,0.037897726220635704,0.12522217528581803,0.14097487581152332,-0.700996501621842,5.0,9.0,9.0
6,0.14329245317800718,0.06818014844875435,0.47581116057840495,0.0628309486116204,0.04426924858530584,0.08805881135530351,0.21100149947848412,0.006855741314649281,0.008727523263863095,0.0015678492331245803,0.22605200463922095,0.18978054227147453,0.05795011994921701,0.10290571129773668,-0.7399076456880683,6.0,9.0,9.0
7,0.15165759325086786,0.06526546381623079,0.43034748486526775,0.021537517367492678,0.02350172783625879,0.005985207664914678,0.16927904977205485,0.11948190055462202,0.0014011954798177975,0.01425204635621036,0.24130984627785462,0.19286699197319448,0.059165037915274894,0.15121947880230502,-0.7860822989965774,7.0,9.0,9.0
8,0.1605767835626866,0.07120944162544746,0.4434603810434927,0.013174102740185602,0.05195378705383639,0.18578580254490062,0.2570077713599079,0.06432151877738501,0.031228506518253867,0.06806682047666246,0.10622369729969286,0.1830878570401491,0.023939805301871998,0.015210330887154264,-0.8022105612495085,8.0,9.0,9.0
9,0.16931208479130266,0.07059119916725654,0.41692947821337506,0.029771338022257118,0.0028770899296034574,0.17783199258418111,0.19206443206567592,0.054562299899060404,0.17434437855923546,0.03089931148363513,0.12945751854770832,0.19461989031644494,0.00788899161931967,0.005682756972878344,-0.8399306347564148,9.0,9.0,9.0
10,0.17868543227247838,0.061476652979494034,0.34404960828450726,0.013752521689487263,0.013662527677727637,0.15164135906129358,0.17184619108282123,0.1981398371043919,0.17422186128874045,0.10323599488020362,0.00403992779310085,0.13686234236851097,0.025062965765056434,0.007534471288665952,-0.8980406958679151,10.0,9.0,10.0
