Target_Risk_Level,Volatility,Return,Sharpe_Ratio,AGG,LQD,HYG,IWDA.L,EEM,VNQI,DBC,GLD,IGF,Moneymarket,IUKP.L,Simulated_1st_Percentile_Max_Drawdown,Vol_Risk_Level_Assigned,DD_Risk_Level_Assigned,Final_Assigned_Risk_Level
1,0.09250653309451022,0.030551025793509178,0.33025803444926877,0.10399561063281679,0.14397543615533195,0.12258579127896149,0.03893129397756325,0.043708852451229636,0.055195235185490646,0.00184961566823178,0.004896423187231016,0.005008916254415359,0.319460965969333,0.16039185923939514,-0.6395242737837356,1.0,1.0,1.0
2,0.09743093783620785,0.029597246646083826,0.30377667816192083,0.2552034730418483,0.07655605721478942,0.039105479414571945,0.05658635874723422,0.027310488182018765,0.04706623152567912,0.021919928769479312,0.02907492721811311,0.0031367569220356064,0.2374115173466843,0.20662878161754575,-0.6821723709314886,2.0,2.0,2.0
3,0.10720142048745324,0.04080627815882569,0.38065053590965825,0.09810403592124975,0.023390629925710428,0.015075352516102593,0.06074181481447774,0.03446720850013987,0.0041078087531693916,0.042876933618339136,0.15223573363504841,0.117974874940302,0.251380109647064,0.19964549772839674,-0.6760967990407958,3.0,1.0,3.0
4,0.11649401935679571,0.05067495708155247,0.43500050355672043,0.08720752048392663,0.05805682813995245,0.0462636214381786,0.17301738016386956,0.07398116677261121,0.022567991566625617,0.033095783123539946,0.14562159919794881,0.09019069337686528,0.26056767408588566,0.00942974165059609,-0.6740095740183007,4.0,1.0,4.0
5,0.12669548286677296,0.05815379678141215,0.4590045001254225,0.0821513754268605,0.09774780841605123,0.1386712126558753,0.2704210081801895,0.028078536262420937,0.03624257837045284,0.01064973785648134,0.12422729048801961,0.01699623342961971,0.15623870740002538,0.038575511514003756,-0.6923734638537506,5.0,2.0,5.0
6,0.13551726506309505,0.05921877137874051,0.43698322388050725,0.058674828789687175,0.11493435302864988,0.05787330454972563,0.2566043297103828,0.01109625069922926,0.0037660307498568807,0.032630804530625224,0.13447676110223988,0.0758753985839088,0.07607724788084257,0.17799069037485188,-0.7326457927875576,6.0,3.0,6.0
7,0.14519514318105298,0.06423539372294114,0.4424073169089546,0.0559643239769478,0.04538883551948001,0.17503947336137618,0.2405145517167433,0.03686670748981175,0.03738806894472616,0.0443306464957289,0.11402274775800887,0.15506124653347325,0.09367197811216048,0.0017514200915432305,-0.7674885743703844,7.0,4.0,7.0
8,0.15454812291728126,0.06493941336352015,0.4201889491616643,0.012991572578851716,0.07220138635336268,0.13451090698993667,0.19525330986270517,0.005156772871367507,0.1392764228931113,0.019131832863639196,0.1708116504290745,0.14408571605414067,0.03676051627981702,0.06981991282399345,-0.7941514019421239,8.0,5.0,8.0
9,0.16439089112445124,0.067849020160503,0.4127298033145782,0.06592803764894109,0.01765368431570359,0.03495812327681801,0.2526129540171348,0.14960557855287115,0.041364630972164335,0.01722802062612807,0.19740846874415274,0.1402639430511331,0.006276889923933638,0.0766996688710197,-0.8216573892099589,9.0,6.0,9.0
10,0.17513790807472554,0.06251856978161972,0.3569676631911415,0.07556845747253312,0.0493642163735126,0.007694750548847421,0.19553255659462684,0.15296106247030236,0.17533534253808014,0.02080294702775886,0.04086116577801009,0.19650089859973913,0.0026322139473068207,0.08274638864928258,-0.8847974000202332,10.0,8.0,10.0
