Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2010-11-01,380.1096496582031,382.6005385812582,379.91036638181515,382.6005385812582,187225
2010-11-02,380.01007080078125,381.0064265346094,378.8144621640059,380.60789032235095,172546
2010-11-03,381.0063171386719,381.90303096037667,379.4121423409994,379.4121423409994,133679
2010-11-04,386.4863586425781,387.98089214885755,385.98818080715165,387.0841781263623,135561
2010-11-05,388.0804138183594,388.4789498822168,385.88841985761445,387.08405845553943,409767
2010-11-08,385.48992919921875,388.97717337983835,386.4862846793958,388.5786372690388,141328
2010-11-09,385.1910400390625,386.08775390233853,385.290681669728,386.08775390233853,397540
2010-11-10,381.0063171386719,384.79248608393846,380.9066755126258,381.6041364885935,57978
2010-11-11,379.8106689453125,382.70009335897925,378.61503037107354,378.61503037107354,50218
2010-11-12,377.818115234375,379.6115434345119,375.0283008708275,376.3235815988061,100838
2010-11-15,379.6114501953125,381.7038028524636,375.52638651351407,378.31620019183464,105049
2010-11-16,371.24200439453125,376.82160035920003,372.6368957841105,374.2310704034947,93242
2010-11-17,369.5481872558594,370.6441842044008,367.55547658809377,368.6514735366352,1035155
2010-11-18,371.3417053222656,373.9322052853887,371.64059980836237,371.64059980836237,53604
2010-11-19,369.34906005859375,370.84359356774956,368.05377944017476,370.84359356774956,46948
2010-11-22,364.66619873046875,371.6406888701225,364.46691542107595,370.5446914811899,118459
2010-11-23,358.7875061035156,363.6696404002218,360.4812916643112,361.7765716410517,63236
2010-11-24,354.8022155761719,357.89092384625053,356.1971072575873,357.29310443811306,47546
2010-11-25,368.4522705078125,369.6479093312656,364.66613157747497,364.66613157747497,688935
2010-11-26,367.8544616699219,368.5518922740362,362.57375929179284,365.66246741388994,123129
2010-11-29,362.4740905761719,370.6442172039623,361.67701840064063,364.6660846684145,96968
2010-11-30,359.88360595703125,363.66974455976873,359.2857865970317,363.66974455976873,71666
2010-12-01,368.4522705078125,367.0573788180228,361.4777816525056,361.4777816525056,306034
2010-12-02,375.12786865234375,373.93222981680475,368.75119914430604,371.04280477167066,79301
2010-12-03,377.6188049316406,381.6042276749825,373.2348459952371,381.6042276749825,115441
2010-12-06,376.223876953125,376.32351859342015,374.13152413236446,375.72569915800864,63963
2010-12-07,377.4194030761719,380.009933126874,378.11686399971387,378.11686399971387,152040
2010-12-08,373.9322204589844,375.2275008994631,373.5635737757204,374.6296814966543,59395
2010-12-09,377.51910400390625,379.3125622006196,376.62239010872844,377.4194623696959,88686
2010-12-10,377.91766357421875,378.61512465059263,376.7220551086116,376.7220551086116,240735
2010-12-13,379.9102783203125,381.50445294281695,376.62231786655786,380.209203165605,135135
2010-12-14,381.80340576171875,382.60047792819415,378.0172369550752,378.0172369550752,73393
2010-12-15,384.2943115234375,383.9953866428384,382.1023173577997,383.9953866428384,108269
2010-12-16,381.80340576171875,383.9953694227032,382.1023002225585,383.9953694227032,0
2010-12-17,383.2979736328125,387.58229012720284,384.09504587155965,387.58229012720284,227137
2010-12-20,384.3939514160156,384.6928763189116,382.3016291275327,384.09505691947743,48957
2010-12-21,384.2943115234375,385.4899198267673,382.70013671264235,382.70013671264235,93010
2010-12-22,386.28692626953125,386.5858206693653,383.5967550456331,385.58946546145455,66240
2010-12-23,387.1837463378906,389.67463504257813,388.0804601903069,388.0804601903069,105804
2010-12-24,385.8883361816406,386.7850801388108,385.58944180014794,386.7850801388108,19044
2010-12-29,389.574951171875,393.56037266723945,373.6332651904172,373.6332651904172,360071
2010-12-30,386.7852478027344,388.67831732093794,386.5859645244564,388.67831732093794,39008
2010-12-31,387.1837463378906,386.5859269674944,386.5859269674944,386.5859269674944,1268
2011-01-04,390.2724609375,393.5604219201127,390.57135542451687,393.5604219201127,466318
2011-01-05,392.2651672363281,392.464420089834,390.77063400643056,390.77063400643056,95288
2011-01-06,388.3794250488281,393.46084500844324,388.0805305126468,393.46084500844324,421927
2011-01-07,386.5858154296875,391.06941380451633,386.5858154296875,388.37924261708,597860
2011-01-10,384.09521484375,385.5897487536479,383.3977535232496,385.5897487536479,54293
2011-01-11,386.3866271972656,387.2833714177179,383.5968441297729,383.5968441297729,218987
2011-01-12,389.8738098144531,389.6745570017966,388.7778433289667,389.17637936063,166132
2011-01-13,390.3719787597656,390.2723675588314,389.07672908412525,389.5749067141945,86697
2011-01-14,390.3719787597656,391.467975627188,388.57855145405597,391.467975627188,136458
2011-01-17,387.58233642578125,396.5495370114677,386.78526409181995,396.5495370114677,37673
2011-01-18,392.0659484863281,391.9663068400021,390.57141501052257,390.6710566568485,60509
2011-01-19,390.3719787597656,394.3573998003201,389.87380112969635,392.06579486454103,591567
2011-01-20,386.28692626953125,389.27599189326344,386.28692626953125,389.27599189326344,186868
2011-01-21,384.2943115234375,389.2760888032002,386.2870224353426,389.2760888032002,0
2011-01-24,386.4863586425781,386.58600029093583,383.29803873966597,383.29803873966597,35496
2011-01-25,387.8810729980469,400.5347963898167,384.1945769467256,400.5347963898167,623599
2011-01-26,388.77789306640625,391.86657051170226,388.3793265774031,391.86657051170226,466903
2011-01-27,389.0766296386719,390.2722678077807,387.7813802940888,388.3791689723015,612304
2011-01-28,385.9881286621094,389.47537303898554,385.78887579867404,389.47537303898554,316727
2011-01-31,383.9954833984375,385.3903753069718,380.30898552633704,385.3903753069718,228112
2011-02-01,387.7816467285156,387.58236342796135,385.78893534842325,385.78893534842325,626234
2011-02-02,385.3902893066406,387.88117801830805,385.0913948237831,386.4862864210456,94346
2011-02-03,385.8883361816406,388.2796128589664,383.5967315066071,387.7814352855812,418545
2011-02-04,388.8775634765625,389.3757412572941,387.08413562847215,387.28341890330825,484880
2011-02-07,387.6819152832031,391.76697874748095,387.08409592637,390.5713400338148,1629777
2011-02-08,392.2651672363281,391.5677062331667,388.3793565135093,390.77063400643056,516834
2011-02-09,393.56036376953125,394.55671912084654,392.56400841821596,394.55671912084654,208550
2011-02-10,389.8738098144531,390.87016509678637,388.2796656878001,390.17273464296323,263720
2011-02-11,391.46807861328125,390.87025921865586,388.5786536800091,390.87025921865586,86959
2011-02-14,392.9626770019531,394.45721053294915,390.571429433632,392.66378245829895,30363
2011-02-15,392.21533203125,394.9553096250756,390.571351556226,390.571351556226,283792
2011-02-16,400.1861877441406,400.80392330031543,394.35750188226746,394.35750188226746,125174
2011-02-17,402.8265075683594,404.1038481833727,399.0403689147321,399.0403689147321,143075
2011-02-18,405.0184326171875,407.02111651588046,403.7231828795991,406.01478792497886,125101
2011-02-21,402.6273498535156,407.31020346252996,402.02953034422177,402.02953034422177,55824
2011-02-22,401.23236083984375,403.0257885273613,397.5458334299559,398.8410833813457,698041
2011-02-23,402.32830810546875,404.360881684495,399.7378083277865,402.52759135283867,292702
2011-02-24,401.1328430175781,404.81934115891625,398.9009853945599,400.53502346844175,1087802
